X,Y,Z,dx,dy,dz,Au_gpt,Cu_pct,density,LITO
620005,7780005,402.5,10,10,5,0.035,0.010,2.594,OXIDE
620015,7780005,402.5,10,10,5,0.038,0.041,2.532,OXIDE
620025,7780005,402.5,10,10,5,0.137,0.010,2.547,OXIDE
620035,7780005,402.5,10,10,5,0.086,0.015,2.532,OXIDE
620045,7780005,402.5,10,10,5,0.054,0.020,2.610,OXIDE
620055,7780005,402.5,10,10,5,0.036,0.020,2.514,OXIDE
620065,7780005,402.5,10,10,5,0.181,0.021,2.586,OXIDE
620075,7780005,402.5,10,10,5,0.222,0.020,2.521,OXIDE
620085,7780005,402.5,10,10,5,0.139,0.025,2.587,OXIDE
620095,7780005,402.5,10,10,5,0.138,0.034,2.634,OXIDE
620105,7780005,402.5,10,10,5,0.136,0.042,2.618,OXIDE
620115,7780005,402.5,10,10,5,-9999,0.023,2.496,OXIDE
620125,7780005,402.5,10,10,5,0.277,0.016,2.588,OXIDE
620135,7780005,402.5,10,10,5,0.093,0.028,2.493,OXIDE
620145,7780005,402.5,10,10,5,0.045,0.009,2.546,OXIDE
620155,7780005,402.5,10,10,5,0.043,0.031,2.574,OXIDE
620165,7780005,402.5,10,10,5,0.033,0.009,2.642,OXIDE
620175,7780005,402.5,10,10,5,0.070,0.025,2.573,OXIDE
620185,7780005,402.5,10,10,5,0.036,0.028,2.539,OXIDE
620195,7780005,402.5,10,10,5,0.056,0.014,2.632,OXIDE
620005,7780015,402.5,10,10,5,0.037,0.115,2.598,OXIDE
620015,7780015,402.5,10,10,5,0.060,0.024,2.587,OXIDE
620025,7780015,402.5,10,10,5,0.050,0.021,2.603,OXIDE
620035,7780015,402.5,10,10,5,0.114,0.031,2.569,OXIDE
620045,7780015,402.5,10,10,5,0.135,0.009,2.537,OXIDE
620055,7780015,402.5,10,10,5,0.061,0.025,2.469,OXIDE
620065,7780015,402.5,10,10,5,0.084,0.017,2.567,OXIDE
620075,7780015,402.5,10,10,5,0.113,0.055,2.429,OXIDE
620085,7780015,402.5,10,10,5,0.110,0.021,2.576,OXIDE
620095,7780015,402.5,10,10,5,0.373,0.032,2.547,OXIDE
620105,7780015,402.5,10,10,5,0.102,0.023,2.545,OXIDE
620115,7780015,402.5,10,10,5,-9999,0.029,2.640,OXIDE
620125,7780015,402.5,10,10,5,0.174,0.020,2.512,OXIDE
620135,7780015,402.5,10,10,5,0.093,0.041,2.467,OXIDE
620145,7780015,402.5,10,10,5,0.179,0.015,2.485,OXIDE
620155,7780015,402.5,10,10,5,0.028,0.013,2.524,OXIDE
620165,7780015,402.5,10,10,5,0.031,0.014,2.633,OXIDE
620175,7780015,402.5,10,10,5,0.078,0.012,2.621,OXIDE
620185,7780015,402.5,10,10,5,0.072,0.019,2.585,OXIDE
620195,7780015,402.5,10,10,5,0.092,0.021,2.480,OXIDE
620005,7780025,402.5,10,10,5,0.077,0.028,2.469,OXIDE
620015,7780025,402.5,10,10,5,0.076,0.034,2.409,OXIDE
620025,7780025,402.5,10,10,5,0.095,0.022,2.534,OXIDE
620035,7780025,402.5,10,10,5,0.064,0.017,2.563,OXIDE
620045,7780025,402.5,10,10,5,0.069,0.027,2.495,OXIDE
620055,7780025,402.5,10,10,5,0.321,0.055,2.517,OXIDE
620065,7780025,402.5,10,10,5,0.174,0.024,2.513,OXIDE
620075,7780025,402.5,10,10,5,0.174,0.027,2.532,OXIDE
620085,7780025,402.5,10,10,5,0.389,0.014,2.544,OXIDE
620095,7780025,402.5,10,10,5,0.114,0.022,2.659,OXIDE
620105,7780025,402.5,10,10,5,0.472,0.048,2.527,OXIDE
620115,7780025,402.5,10,10,5,0.182,0.023,2.553,OXIDE
620125,7780025,402.5,10,10,5,0.223,0.027,2.563,OXIDE
620135,7780025,402.5,10,10,5,0.113,0.022,2.571,OXIDE
620145,7780025,402.5,10,10,5,0.065,0.030,2.572,OXIDE
620155,7780025,402.5,10,10,5,0.101,0.019,2.564,OXIDE
620165,7780025,402.5,10,10,5,0.085,0.021,2.459,OXIDE
620175,7780025,402.5,10,10,5,0.096,0.012,2.600,OXIDE
620185,7780025,402.5,10,10,5,0.079,0.022,2.509,OXIDE
620195,7780025,402.5,10,10,5,0.137,0.023,2.479,OXIDE
620005,7780035,402.5,10,10,5,-9999,0.019,2.560,OXIDE
620015,7780035,402.5,10,10,5,0.085,0.018,2.508,OXIDE
620025,7780035,402.5,10,10,5,0.078,0.028,2.585,OXIDE
620035,7780035,402.5,10,10,5,0.111,0.018,2.472,OXIDE
620045,7780035,402.5,10,10,5,0.152,0.030,2.583,OXIDE
620055,7780035,402.5,10,10,5,0.332,0.035,2.505,OXIDE
620065,7780035,402.5,10,10,5,0.202,0.024,2.572,OXIDE
620075,7780035,402.5,10,10,5,0.306,0.028,2.655,OXIDE
620085,7780035,402.5,10,10,5,0.205,0.040,2.521,OXIDE
620095,7780035,402.5,10,10,5,0.173,0.045,2.559,OXIDE
620105,7780035,402.5,10,10,5,0.237,0.014,2.507,OXIDE
620115,7780035,402.5,10,10,5,0.308,0.009,2.523,OXIDE
620125,7780035,402.5,10,10,5,0.228,0.031,2.549,OXIDE
620135,7780035,402.5,10,10,5,0.218,0.112,2.490,OXIDE
620145,7780035,402.5,10,10,5,0.201,0.017,2.602,OXIDE
620155,7780035,402.5,10,10,5,0.233,0.040,2.474,OXIDE
620165,7780035,402.5,10,10,5,0.338,0.041,2.663,OXIDE
